trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,10,66.1888544,66.1888544,0.0304505,[0.08518518518518518],[-0.25555555555555554],[1],[0],[0],[3.544868699973449],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
1,0,1,0,5,69.7528098,69.7528098,0.0208954,[0.46574074074074073],[-0.07407407407407407],[1],[0],[0],[1.4329588001128286],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
2,0,2,0,5,71.2029617,71.2029617,0.0144162,[-0.22870370370370371],[0.3675925925925926],[1],[0],[0],[2.059659000020474],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
3,0,3,0,5,73.2961283,73.2961283,0.0256184,[-0.06944444444444445],[-0.2833333333333333],[1],[0],[0],[1.596853000111878],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
4,0,4,0,10,74.9351016,74.9351016,0.0325025,[-0.06944444444444445],[-0.2833333333333333],[1],[0],[0],[0.771946300053969],[],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
5,0,5,0,10,75.7517587,75.7517587,0.0333554,[-0.06944444444444445],[-0.2833333333333333],[1],[0],[0],[0.6091619001235813],[],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
6,0,6,0,5,76.3883722,76.3883722,0.024008,[0.14351851851851852],[-0.19907407407407407],[1],[0],[0],[1.5810573000926524],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
7,0,7,0,10,78.0196314,78.0196314,0.0409859,[-0.3972222222222222],[0.3638888888888889],[1],[0],[0],[1.7805395999457687],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
8,0,8,0,5,79.8242803,79.8242803,0.0216252,[0.14722222222222223],[-0.20555555555555555],[1],[0],[0],[1.6838342000264674],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
9,0,9,0,5,81.5362218,81.5362218,0.0218016,[-0.4203703703703704],[0.32222222222222224],[1],[0],[0],[2.9136750001925975],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
10,0,10,0,10,84.5040637,84.5040637,0.0466023,[-0.38981481481481484],[-0.11574074074074074],[1],[0],[0],[1.8247944999020547],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
11,0,11,0,10,86.3753498,86.3753498,0.0360071,[0.40370370370370373],[0.34814814814814815],[1],[0],[0],[2.6664823999162763],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
12,0,12,0,10,89.0818491,89.0818491,0.0321222,[-0.1037037037037037],[0.37037037037037035],[1],[0],[0],[1.542751400033012],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
13,0,13,0,5,90.6424185,90.6424185,0.0180255,[-0.41574074074074074],[-0.40925925925925927],[1],[0],[0],[2.032941399840638],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
14,0,14,0,10,92.7188878,92.7188878,0.0340025,[0.11944444444444445],[0.2],[1],[0],[0],[1.8203560998663306],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
15,0,15,0,10,94.5806926,94.5806926,0.03041,[0.39537037037037037],[0.2898148148148148],[1],[0],[0],[1.5923007999081165],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
16,0,16,0,10,96.2039313,96.2039313,0.0283716,[-0.05555555555555555],[-0.46944444444444444],[1],[0],[0],[2.5584561000578105],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
17,0,17,0,5,98.7952358,98.7952358,0.0284278,[-0.21481481481481482],[0.15648148148148147],[1],[0],[0],[1.3784737000241876],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
18,0,18,0,10,100.2189924,100.2189924,0.0363202,[0.3277777777777778],[0.16296296296296298],[1],[0],[0],[1.8345783001277596],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
19,0,19,0,10,102.1020892,102.1020892,0.0356061,[-0.31574074074074077],[-0.462037037037037],[1],[0],[0],[1.9700527000240982],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
20,0,20,0,5,104.0965196,104.0965196,0.0236125,[0.004629629629629629],[-0.15092592592592594],[1],[0],[0],[3.223237100057304],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
21,0,21,0,10,107.3679486,107.3679486,0.0363069,[-0.29259259259259257],[0.05925925925925926],[1],[0],[0],[1.4532896999735385],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
22,0,22,0,5,108.8430942,108.8430942,0.019084,[0.1175925925925926],[0.2796296296296296],[1],[0],[0],[1.3874118998646736],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
23,0,23,0,5,110.2645954,110.2645954,0.0276333,[0.2462962962962963],[0.4083333333333333],[1],[0],[0],[1.3113816000986844],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
24,0,24,0,5,111.6100133,111.6100133,0.0246514,[-0.16203703703703703],[0.48703703703703705],[1],[0],[0],[1.5965837000403553],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
25,0,25,0,10,113.2265447,113.2265447,0.0185848,[-0.3453703703703704],[0.35],[1],[0],[0],[1.873684999998659],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
26,0,26,0,5,115.1315364,115.1315364,0.0257688,[-0.4583333333333333],[-0.362962962962963],[1],[0],[0],[1.9455258999951184],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
27,0,27,0,5,117.1119321,117.1119321,0.0258728,[0.37962962962962965],[-0.062037037037037036],[1],[0],[0],[2.7924085000995547],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
28,0,28,0,5,119.9363361,119.9363361,0.0255364,[-0.36944444444444446],[0.021296296296296296],[1],[0],[0],[1.5127085000276566],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
29,0,29,0,5,121.46252,121.46252,0.0120919,[-0.22314814814814815],[0.1638888888888889],[1],[0],[0],[1.4639663000125438],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
30,0,30,0,10,122.9560982,122.9560982,0.0240528,[-0.4759259259259259],[0.028703703703703703],[1],[0],[0],[1.2031497999560088],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
31,0,31,0,10,124.2083565,124.2083565,0.0389907,[-0.3453703703703704],[-0.3055555555555556],[1],[0],[0],[1.3844376001507044],[],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
32,0,32,0,10,125.6175355,125.6175355,0.0243587,[0.008333333333333333],[-0.10648148148148148],[1],[0],[0],[2.133022499969229],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
33,0,33,0,10,127.7790801,127.7790801,0.0258913,[0.1648148148148148],[-0.37962962962962965],[1],[0],[0],[2.281375000020489],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
34,0,34,0,5,130.0925239,130.0925239,0.0234824,[-0.33425925925925926],[-0.049074074074074076],[1],[0],[0],[2.064839599886909],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
35,0,35,0,10,132.2114382,132.2114382,0.0457698,[0.001851851851851852],[-0.2962962962962963],[1],[0],[0],[1.9254058999940753],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
36,0,36,0,5,134.1564699,134.1564699,0.0180783,[0.08888888888888889],[-0.026851851851851852],[1],[0],[0],[1.171497100032866],[],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
37,0,37,0,10,135.3724405,135.3724405,0.0363853,[0.3416666666666667],[-0.29907407407407405],[1],[0],[0],[2.666038300143555],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
38,0,38,0,5,138.0686673,138.0686673,0.0236724,[0.45925925925925926],[0.2],[1],[0],[0],[2.146434099879116],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
39,0,39,0,5,140.2480728,140.2480728,0.0272132,[0.27870370370370373],[-0.05277777777777778],[1],[0],[0],[2.3269583999644965],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
40,0,40,0,10,142.6343372,142.6343372,0.0433773,[-0.06574074074074074],[0.08518518518518518],[1],[0],[0],[1.529051700141281],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
41,0,41,0,10,144.2193736,144.2193736,0.0490982,[-0.09259259259259259],[-0.19537037037037036],[1],[0],[0],[2.337415099842474],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
42,0,42,0,10,146.5930497,146.5930497,0.0342903,[0.1648148148148148],[-0.2064814814814815],[1],[0],[0],[1.690118100028485],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
43,0,43,0,5,148.3111841,148.3111841,0.0239729,[-0.24074074074074073],[0.4759259259259259],[1],[0],[0],[1.8108091000467539],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
44,0,44,0,10,150.1515155,150.1515155,0.0235327,[0.2490740740740741],[-0.36018518518518516],[1],[0],[0],[2.464367799926549],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
45,0,45,0,10,152.6602316,152.6602316,0.0322936,[0.2212962962962963],[-0.06111111111111111],[1],[0],[0],[1.6551739999558777],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
46,0,46,0,5,154.3382533,154.3382533,0.0214139,[0.37962962962962965],[0.44907407407407407],[1],[0],[0],[2.132842499995604],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
47,0,47,0,5,156.5059852,156.5059852,0.0245249,[0.2851851851851852],[-0.25092592592592594],[1],[0],[0],[2.013870900031179],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
48,0,48,0,5,158.5499458,158.5499458,0.027484,[0.2537037037037037],[0.09814814814814815],[1],[0],[0],[1.6275282998103648],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
49,0,49,0,5,160.2115856,160.2115856,0.0276024,[0.019444444444444445],[0.2037037037037037],[1],[0],[0],[2.3264897000044584],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
50,0,50,0,10,162.5880794,162.5880794,0.0433825,[0.21944444444444444],[0.09074074074074075],[1],[0],[0],[1.7619090001098812],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
51,0,51,0,10,164.3982708,164.3982708,0.035179,[-0.30185185185185187],[-0.07037037037037037],[1],[0],[0],[3.0326372999697924],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
52,0,52,0,10,167.4698257,167.4698257,0.0327712,[0.19074074074074074],[0.23796296296296296],[1],[0],[0],[1.8546522001270205],['target'],2,1,2022-09-29_18h12.04.146,Tutorial_3,2022.2.4,60.20563837
